name	asciiname	cc	0
Alexandria		EG	254
Ahmedabad		IN	247
Abidjan		CI	245
Ankara		TR	234
Addis Ababa		ET	183
Al Jīzah	Al Jizah	EG	162
Al Mawşil al Jadīdah	Al Mawsil al Jadidah	IQ	137
Al Başrah al Qadīmah	Al Basrah al Qadimah	IQ	134
Almaty		KZ	133
Algiers		DZ	131
Accra		GH	130
Aleppo		SY	106
Asunción	Asuncion	PY	98
Āgra	Agra	IN	95
Antananarivo		MG	92
Amman		JO	85
Adana		TR	83
Adelaide		AU	81
Anshan		CN	79
Amritsar		IN	72
Allahābād	Allahabad	IN	71
Aurangabad		IN	67
Abū Ghurayb	Abu Ghurayb	IQ	60
Abobo		CI	60
Aba		NG	59
Ahvaz		IR	56
Arequipa		PE	56
Austin		US	52
Anyang		CN	52
Antalya		TR	50
Alīgarh	Aligarh	IN	50
Amsterdam		NL	49
Ashgabat		TM	48
Álvaro Obregón	Alvaro Obregon	MX	48
As Sulaymānīyah	As Sulaymaniyah	IQ	48
Agadir		MA	46
Athens		GR	44
Aguascalientes		MX	43
Acapulco de Juárez	Acapulco de Juarez	MX	43
Ansan-si		KR	43
Al Aḩmadī	Al Ahmadi	KW	42
Anyang-si		KR	42
Al Ḩudaydah	Al Hudaydah	YE	41
Amrāvati	Amravati	IN	40
Abu Dhabi		AE	40
Abeokuta		NG	39
Abuja		NG	39
Asmara		ER	37
Aden		YE	36
Antipolo		PH	36
Albuquerque		US	36
Ajmer		IN	34
Āzādshahr	Azadshahr	IR	34
Aparecida de Goiânia	Aparecida de Goiania	BR	34
Āsansol	Asansol	IN	33
Arāk	Arak	IR	33
Astrakhan		RU	33
Aracaju		BR	32
Antwerpen		BE	30
Amagasaki		JP	29
Ananindeua		BR	28
Al Maḩallah al Kubrá	Al Mahallah al Kubra	EG	28
Akola		IN	28
Azcapotzalco		MX	28
Ado-Ekiti		NG	28
Akure		NG	28
Asyūţ	Asyut	EG	28
Al Manşūrah	Al Mansurah	EG	28
Atlanta		US	28
Auckland		NZ	27
Ardabīl	Ardabil	IR	27
Al Ain		AE	27
An Nāşirīyah	An Nasiriyah	IQ	26
Al Hoceïma	Al Hoceima	MA	26
Abomey-Calavi		BJ	25
Abadan		IR	24
Ahmadnagar		IN	24
Arlington		US	24
Al Qadarif		SD	24
Ataşehir	Atasehir	TR	24
Anqing		CN	23
Asahikawa		JP	23
Arkhangel’sk	Arkhangel'sk	RU	23
Ambon		ID	23
Apodaca		MX	23
Anshun		CN	23
Astana		KZ	23
Arusha		TZ	22
Ambattūr	Ambattur	IN	22
Aksu		CN	22
Anaheim		US	22
Alicante		ES	22
Akitashi		JP	21
Aurora		US	21
Al ‘Amārah	Al `Amarah	IQ	21
Akita		JP	21
Anápolis	Anapolis	BR	21
Ad Dīwānīyah	Ad Diwaniyah	IQ	21
Andijon		UZ	21
Armenia		CO	21
Al Kūt	Al Kut	IQ	21
Antofagasta		CL	20
Al Fayyūm	Al Fayyum	EG	20
Angeles City		PH	19
Aomorishi		JP	19
Akashi		JP	19
Al Hufūf	Al Hufuf	SA	19
Anchorage		US	19
Al Mubarraz		SA	19
Al Ḩillah	Al Hillah	IQ	19
Adapazarı	Adapazari	TR	19
Alto Barinas		VE	18
Alwar		IN	18
Ar Rayyān	Ar Rayyan	QA	18
Aizawl		IN	17
Aachen		DE	17
Aqtöbe	Aqtobe	KZ	17
Aral		CN	17
Augsburg		DE	17
Al Mukallā	Al Mukalla	YE	17
Altona		DE	16
Āvadi	Avadi	IN	16
A Coruña	A Coruna	ES	16
Angarsk		RU	16
Aswan		EG	16
Anantapur		IN	16
Århus	Arhus	DK	15
Al Jubayl		SA	15
Atsugi		JP	15
Al Minyā	Al Minya	EG	15
Ajman		AE	15
Ashdod		IL	14
Adıyaman	Adiyaman	TR	14
Arrah		IN	14
Ageoshimo		JP	14
Amarnāth	Amarnath	IN	14
Alor Setar		MY	14
Abha		SA	14
Arroyo Naranjo		CU	14
Arroyo Naranjo		CU	14
Antakya		TR	14
Arlington		US	13
Annaba		DZ	13
Alcalá de Henares	Alcala de Henares	ES	13
Agartala		IN	13
Achiaman		GH	13
Al Khums		LY	13
Az Zāwīyah	Az Zawiyah	LY	13
Armavir		RU	13
Āmol	Amol	IR	13
Akron		US	13
Aurora		US	13
Americana		BR	13
Amarillo		US	12
Al Fallūjah	Al Fallujah	IQ	12
Almería	Almeria	ES	12
Antsirabe		MG	12
Ad-Damazin		SD	12
Arica		CL	12
Aberdeen		GB	12
Anda		CN	12
Atyrau		KZ	12
