Guangzhou		CN	738
Guayaquil		EC	130
Guadalajara		MX	109
Gwangju		KR	94
Gujrānwāla	Gujranwala	PK	92
Guankou		CN	92
Gorakhpur		IN	88
Ghāziābād	Ghaziabad	IN	79
Gustavo A. Madero		MX	79
Gustavo A. Madero		MX	79
Guiyang		CN	78
Goiânia	Goiania	BR	78
Guarulhos		BR	77
Goyang-si		KR	71
Gaziantep		TR	71
Guatemala City		GT	66
Guwahati		IN	59
Gwalior		IN	58
Guadalupe		MX	48
General Santos		PH	45
Gorakhpur		IN	44
Guilin		CN	43
Glasgow		GB	40
Gold Coast		AU	39
Genoa		IT	38
Guli		CN	35
Guntur		IN	35
Göteborg	Goeteborg	SE	33
Gulbarga		IN	32
Gomel		BY	32
Gdańsk	Gdansk	PL	30
Garoua		CM	29
Gaya		IN	28
Gaza		PS	27
Gifu-shi		JP	26
Ganja		AZ	20
Guarujá	Guaruja	BR	20
General Escobedo		MX	20
Gujrāt	Gujrat	PK	20
George Town		MY	20
Galaţi	Galati	RO	19
Greater Noida		IN	19
Gumi		KR	19
Gebze		TR	18
Gijón	Gijon	ES	18
Guantánamo	Guantanamo	CU	18
Gelsenkirchen		DE	18
Greensboro		US	17
Gajuwaka		IN	17
Gdynia		PL	16
Governador Valadares		BR	16
Gombe		NG	16
Gorgān	Gorgan	IR	16
Gatineau		CA	16
Gravataí	Gravatai	BR	15
Gasteiz / Vitoria		ES	15
Georgetown		GY	15
Granada		ES	15
Gangānagar	Ganganagar	IN	15
Gent		BE	15
Gomez Palacio		MX	15
Garland		US	15
Gusau		NG	15
Glendale		US	15
Groznyy		RU	15
Geelong		AU	15
Gosāba	Gosaba	IN	14
Graz		AT	14
Galkissa		LK	14
Guangyuan		CN	14
Gilbert		US	13
Gaborone		BW	13
Gaoping		CN	13
Gliwice		PL	13
Gurgaon		IN	13
Ghandinagar		IN	13
Guri-si		KR	13
Guatire		VE	12
Glendale		US	12
Grand Rapids		US	12
Genève	Geneve	CH	12
Guarenas		VE	12
Groningen		NL	12
Grand Prairie		US	11
Garden Grove		US	11
Getafe		ES	11
Gāndhīdhām	Gandhidham	IN	11
Gaozhou		CN	11
Geneina		SD	10
Gadag		IN	10
Grenoble		FR	10
Gol’yanovo	Gol'yanovo	RU	10
Greater Sudbury		CA	10
Guyong		PH	10
Guangshui		CN	10
Gandajika		CD	10
Gondar		ET	10
Guna		IN	10
Guacara		VE	10
Guarapuava		BR	10
Gaomi		CN	10
Gimcheon		KR	10
Gyumri		AM	9
Gulu		UG	9
Gweru		ZW	9
Gorontalo		ID	9
Goma		CD	9
Ghazni		AF	9
