Hong Kong		HK	467
Hangzhou		CN	416
Harbin		CN	391
Hyderabad		IN	239
Ho Chi Minh City		VN	231
Hefei		CN	220
Havana		CU	144
Houston		US	139
Hamburg		DE	115
Harare		ZW	102
Hanoi		VN	95
Hyderabad		PK	92
Handan		CN	90
Hiroshima		JP	76
Hāora	Haora	IN	68
Huainan		CN	68
Huaibei		CN	60
Hubli		IN	56
Homs		SY	51
Hohhot		CN	51
Hengyang		CN	50
Hegang		CN	49
Huangshi		CN	45
Haikou		CN	41
Hamamatsu		JP	40
Haiphong		VN	40
Hermosillo		MX	39
Hachiōji	Hachioji	JP	38
Honchō	Honcho	JP	37
Hamhŭng	Hamhung	KP	37
Helsinki		FI	37
Huai'an		CN	37
Hamadān	Hamadan	IR	35
Hamilton		CA	34
Hannover		DE	34
Himeji		JP	32
Hargeysa		SO	31
Hwaseong-si		KR	31
Ḩamāh	Hamah	SY	30
Hengshui		CN	30
Heroica Matamoros		MX	29
Hirakata		JP	27
Hsinchu		TW	26
Huancayo		PE	25
Honolulu		US	24
Halifax		CA	23
Hualien City		TW	23
Hŭngnam	Hungnam	KP	23
Holguín	Holguin	CU	21
Hrodna		BY	21
Hull		GB	20
Hisar		IN	19
Huizhou		CN	19
Huế	Hue	VN	19
Hamburg-Nord		DE	18
Horlivka		UA	18
Hakodate		JP	18
Herāt	Herat	AF	18
Haifa		IL	17
Ha'il		SA	17
Hulan Ergi		CN	17
Hiratsuka		JP	17
Henderson		US	17
Heze		CN	16
Hebi		CN	16
Hāpur	Hapur	IN	16
Halle Neustadt		DE	16
Hachinohe		JP	15
Halle (Saale)		DE	15
Hamburg-Mitte		DE	15
Ḩalwān	Halwan	EG	15
Huambo		AO	15
Huanggang		CN	15
Hialeah		US	14
Haeju		KP	14
Hobart		AU	14
Hailar		CN	14
Hangu		CN	13
Hortolândia	Hortolandia	BR	13
Harburg		DE	13
Hagen		DE	13
Hospet		IN	13
Hyesan-si		KP	12
Humen		CN	12
Hat Yai		TH	12
Haicheng		CN	12
Huntington Beach		US	12
Hitachi		JP	12
Haridwar		IN	12
Hamm		DE	12
Huntsville		US	12
Habana del Este		CU	11
Hugli		IN	11
Hirosaki		JP	11
Hadano		JP	11
Herne		DE	11
Hino		JP	11
Haldia		IN	11
Horta-Guinardó	Horta-Guinardo	ES	11
Hollywood		US	11
H̱olon	Holon	IL	11
Ḩawallī	Hawalli	KW	10
Hortaleza		ES	10
Hebron		PS	10
Huzhou		CN	10
Hitachi-Naka		JP	10
Hanumāngarh	Hanumangarh	IN	10
Hāfizābād	Hafizabad	PK	10
Hamilton		NZ	10
