Jakarta		ID	569
Jinan		CN	289
Jeddah		SA	191
Jaipur		IN	180
Johannesburg		ZA	135
Jilin		CN	125
Jabalpur		IN	68
Jieyang		CN	66
Jodhpur		IN	61
Jacksonville		US	54
Jos		NG	54
Johor Bahru		MY	53
Jerusalem		IL	53
Jalandhar		IN	52
Jeonju		KR	47
Jaboatão	Jaboatao	BR	46
João Pessoa	Joao Pessoa	BR	43
Jaboatão dos Guararapes	Jaboatao dos Guararapes	BR	42
Jamshedpur		IN	41
Jinzhou		CN	40
Jiamusi		CN	36
Jiangmen		CN	35
Jiaozuo		CN	34
Jāmnagar	Jamnagar	IN	32
Jiaojiang		CN	31
Juiz de Fora		BR	31
Jiaxing		CN	31
Jammu		IN	31
Joinville		BR	30
Jining		CN	30
Jiangguanchi		CN	29
Jalgaon		IN	28
Jambi City		ID	28
Jhānsi	Jhansi	IN	27
Jeju City		KR	27
Jixi		CN	26
Jhang Sadr		PK	22
Jincheng		CN	22
Jundiaí	Jundiai	BR	21
Jingdezhen		CN	20
Juba		SS	20
Jember		ID	19
Jālna	Jalna	IN	17
Jiujiang		CN	17
Jining		CN	17
Jimeta		NG	16
Jersey City		US	16
Juliaca		PE	16
Ji’an	Ji'an	CN	16
Jessore		BD	16
Juazeiro do Norte		BR	15
Jingling		CN	14
Jamaica		US	14
Jinzhou		CN	14
Jacareí	Jacarei	BR	14
Jerez de la Frontera		ES	13
Jōetsu	Joetsu	JP	13
Jalālābād	Jalalabad	AF	13
Jamaame		SO	12
Jūnāgadh	Junagadh	IN	12
Jingzhou		CN	11
Jiutai		CN	11
Jackson		US	11
Jacobābād	Jacobabad	PK	11
Jaunpur		IN	11
Jaffna		LK	11
Jabālyā	Jabalya	PS	11
Jamālpur	Jamalpur	BD	11
Jingmen		CN	11
Jiaozhou		CN	11
Jhelum		PK	10
Jiutepec		MX	10
Jīnd	Jind	IN	10
Jāmuria	Jamuria	IN	10
Jaigaon		IN	10
Jizzax		UZ	10
Jijel		DZ	9
Joliet		US	9
Jinchang		CN	9
Jinhua		CN	9
Jieshou		CN	9
Jacmel		HT	9
Jieshi		CN	9
Jiashan		CN	9
Jagdaqi		CN	9
Jayapura		ID	8
Jiazi		CN	8
Jaraguá do Sul	Jaragua do Sul	BR	8
Jīma	Jima	ET	8
Jirjā	Jirja	EG	8
Jequié	Jequie	BR	8
Jiangyou		CN	8
Jombang		ID	8
Jiupu		CN	8
Jiayuguan		CN	8
Jarānwāla	Jaranwala	PK	7
Jaú	Jau	BR	7
Jetpur		IN	7
Jalingo		NG	7
Jaén	Jaen	ES	7
Jandira		BR	7
Jhunjhunūn	Jhunjhunun	IN	7
Jiangyin		CN	7
Jalpāiguri	Jalpaiguri	IN	7
Jalai Nur		CN	7
Ji Paraná	Ji Parana	BR	7
Jizan		SA	7
Jena		DE	6
Jishu		CN	6
Jagādhri	Jagadhri	IN	6
Jolo		PH	6
Jamālpur	Jamalpur	IN	6
Jagtiāl	Jagtial	IN	6
Jérémie	Jeremie	HT	6
Jaworzno		PL	6
Jahānābād	Jahanabad	IN	6
Jastrzębie Zdrój	Jastrzebie Zdroj	PL	6
Jinsha		CN	6
Japeri		BR	6
Jalālpur	Jalalpur	PK	6
Janakpur		NP	6
Jinja		UG	6
Jinjiang		CN	5
Jelenia Góra	Jelenia Gora	PL	5
Jharia		IN	5
Jyväskylä	Jyvaeskylae	FI	5
Junín	Junin	AR	5
Jinxiang	Jinxiangzhen	CN	5
Jönköping	Jonkoping	SE	5
Jinshi		CN	5
Jangipur		IN	5
Jeypore		IN	5
Jhārsuguda	Jharsuguda	IN	5
Jamūī	Jamui	IN	5
Jishui		CN	5
Jiexiu		CN	5
Johns Creek		US	5
Jataí	Jatai	BR	5
Jagdalpur		IN	5
Jumri Tilaiyā	Jumri Tilaiya	IN	5
Jalal-Abad		KG	5
Jamjamāl	Jamjamal	IQ	5
Jega		NG	4
Juegang		CN	4
Joypur Hāt	Joypur Hat	BD	4
Jatibarang		ID	4
João Monlevade	Joao Monlevade	BR	4
Jiuquan		CN	4
Jimo		CN	4
Jiangyan		CN	4
Jacksonville		US	4
Jaboticabal		BR	4
Jiehu		CN	4
Jorhāt	Jorhat	IN	4
Jinjiang		CN	4
Juchitán de Zaragoza	Juchitan de Zaragoza	MX	4
Jaisalmer		IN	4
Jonesboro		US	4
Jaorā	Jaora	IN	4
Jablah		SY	4
Jagraon		IN	4
Jackson		US	4
Jāmpur	Jampur	PK	4
Janesville		US	4
Jitra		MY	4
Johnson City		US	4
Jinghong		CN	4
Jelgava		LV	4
Jamkhandi		IN	4
Jianguang		CN	4
Jijiang		CN	4
Jiangkou		CN	3
Jian’ou	Jian'ou	CN	3
Jidong		CN	3
Juye		CN	3
Jatiwangi		ID	3
Jhārgrām	Jhargram	IN	3
Jahāngīrābād	Jahangirabad	IN	3
Jijiga		ET	3
Jinji		CN	3
Janaúba	Janauba	BR	3
Jatani		IN	3
Jālaun	Jalaun	IN	3
Jupiter		US	3
Jackson		US	3
Jonquière	Jonquiere	CA	3
Juigalpa		NI	3
Jagüey Grande	Jaguey Grande	CU	3
Jūrmala	Jurmala	LV	3
Jardines de la Silla (Jardines)		MX	3
Joensuu		FI	3
Jaén	Jaen	PE	3
Jhālāwār	Jhalawar	IN	3
Jendouba		TN	3
Jinotega		NI	3
Jesús Menéndez	Jesus Menendez	CU	3
Joplin		US	3
Jihlava		CZ	3
Jatiroto		ID	3
Jalor		IN	3
Jugsālai	Jugsalai	IN	3
Jobabo		CU	3
Juhaynah		EG	3
Jacobina		BR	3
Jangaon		IN	3
Jodhpur		IN	3
Jovellanos		CU	3
Jatoi Shimāli	Jatoi Shimali	PK	3
Jawhar		SO	3
Jaisingpur		IN	3
Jauharābād	Jauharabad	PK	3
Jalapa		GT	3
Jeffersonville		US	2
Jablonec nad Nisou		CZ	2
Jamundí	Jamundi	CO	2
Jhajjar		IN	2
Jammalamadugu		IN	2
Jasdan		IN	2
Jales		BR	2
Jerada		MA	2
Jilib		SO	2
Jefferson City		US	2
Jerez de García Salinas	Jerez de Garcia Salinas	MX	2
Jesús María	Jesus Maria	MX	2
Jaspur		IN	2
Jintūr	Jintur	IN	2
Jājpur	Jajpur	IN	2
Jhingergācha	Jhingergacha	BD	2
Jambusar		IN	2
Jaguaquara		BR	2
Jaggayyapeta		IN	2
Jiguaní	Jiguani	CU	2
Jolārpettai	Jolarpettai	IN	2
Juwana		ID	2
Jarosław	Jaroslaw	PL	2
Jaen		PH	2
Jisr ash Shughūr	Jisr ash Shughur	SY	2
Javānrūd	Javanrud	IR	2
Jhā Jhā	Jha Jha	IN	2
Jalesar		IN	2
Järvenpää	Jaervenpaeae	FI	2
Jasło	Jaslo	PL	2
Juanjuí	Juanjui	PE	2
Jekulo		ID	2
Jincheng		TW	2
Jamaica Plain		US	2
Joué-lés-Tours	Joue-les-Tours	FR	2
Jalālpur Pīrwāla	Jalalpur Pirwala	PK	2
Jhumra		PK	2
Jesi		IT	2
Joal-Fadiout		SN	2
Jipijapa		EC	2
Jagodina		RS	2
Jacarezinho		BR	2
Jalālābād	Jalalabad	IN	2
Jonava		LT	2
Januária	Januaria	BR	2
Jāmadoba	Jamadoba	IN	2
Joliette		CA	2
Janīn	Janin	PS	2
Jardinópolis	Jardinopolis	BR	2
Jaito		IN	2
Jutiapa		GT	2
Jhābua	Jhabua	IN	2
Jacaltenango		GT	2
Jülich	Juelich	DE	2
Juticalpa		HN	2
Jerantut		MY	2
Jackson		US	2
Jogbani		IN	2
Jhālrapātan	Jhalrapatan	IN	2
Jagatsinghapur		IN	2
Jānjgīr	Janjgir	IN	2
Jagna		PH	2
Jaten		ID	2
Jayrūd	Jayrud	SY	2
Jayamkondacholapuram		IN	2
Ja Ela		LK	2
Jinka		ET	2
Jidd Ḩafş	Jidd Hafs	BH	2
Jaguariúna	Jaguariuna	BR	2
Javea		ES	2
Jalālpur	Jalalpur	IN	2
Jhanjhārpur	Jhanjharpur	IN	2
Juneau		US	2
Jinan-gun		KR	2
Jamestown		US	2
Jiménez	Jimenez	MX	2
Jagdīshpur	Jagdishpur	IN	2
Jagdīspur	Jagdispur	IN	2
Jaguariaíva	Jaguariaiva	BR	2
Jaraguá	Jaragua	BR	2
Jāsim	Jasim	SY	2
Jarabacoa		DO	1
Jalālābād	Jalalabad	IN	1
Jaguarão	Jaguarao	BR	1
Jinotepe		NI	1
Jewar		IN	1
Jahāniān Shāh	Jahanian Shah	PK	1
Jefferson		US	1
Jūybār	Juybar	IR	1
Jacksonville		US	1
Juan Griego		VE	1
Jogonalan		ID	1
João Pinheiro	Joao Pinheiro	BR	1
Jaru		BR	1
Jhawāriān	Jhawarian	PK	1
Jászberény	Jaszbereny	HU	1
José Bonifácio	Jose Bonifacio	BR	1
Jalgaon Jamod		IN	1
Jaswantnagar		IN	1
Justiniškės	Justiniskes	LT	1
Jarrow		GB	1
Jēkabpils	Jekabpils	LV	1
Jarash		JO	1
Jesús María	Jesus Maria	AR	1
Jeffersontown		US	1
Juan Jose Rios		MX	1
Jora		IN	1
Junnar		IN	1
Jais		IN	1
Jumilla		ES	1
Jarocin		PL	1
