Karachi		PK	774
Kinshasa		CD	519
Kolkata		IN	308
Kunming		CN	257
Kano		NG	241
Kabul		AF	202
Kanpur		IN	188
Kiev		UA	186
Kowloon		HK	134
Khartoum		SD	131
Kaduna		NG	105
Kobe		JP	101
Kaohsiung		TW	101
Kumasi		GH	97
Kota Bharu		MY	97
Kyoto		JP	97
Kuala Lumpur		MY	96
Karaj		IR	96
Kathmandu		NP	96
Kharkiv		UA	95
Kampala		UG	90
Khulna		BD	89
Kawasaki		JP	87
Kalyān	Kalyan	IN	84
Kazan		RU	73
Kitakyushu		JP	66
Köln	Koeln	DE	64
Kingston		JM	62
Krasnoyarsk		RU	61
Kaifeng		CN	60
Klang		MY	58
Konya		TR	58
Kampung Baru Subang		MY	55
Kahrīz	Kahriz	IR	51
Kota		IN	50
Kraków	Krakow	PL	50
Kigali		RW	49
Kumamoto		JP	45
Kryvyi Rih		UA	43
Krasnodar		RU	43
Kotli		PK	42
Kermānshāh	Kermanshah	IR	41
Kirkuk		IQ	40
Kayseri		TR	39
Khabarovsk		RU	38
Khabarovsk Vtoroy		RU	38
Kerman		IR	38
Kuching		MY	38
Kagoshima		JP	37
Kisangani		CD	35
Kolhāpur	Kolhapur	IN	34
Karol Bāgh	Karol Bagh	IN	33
Kalininskiy		RU	33
Kemerovo		RU	31
Kawaguchi		JP	31
Kananga		CD	30
Kansas City		US	30
Kanazawa		JP	30
Karabağlar	Karabaglar	TR	30
Kirov		RU	30
Kota Kinabalu		MY	30
Karagandy		KZ	30
Kozhikode		IN	29
Kurashiki		JP	29
Kousséri	Kousseri	CM	29
Kaliningrad		RU	28
Karbala		IQ	28
Katsina		NG	28
Korba		IN	27
Kolwezi		CD	27
Kursk		RU	27
Kassala		SD	26
Kitwe		ZM	26
Khmel’nyts’kyy	Khmel'nyts'kyy	UA	26
Keelung		TW	26
Kollam		IN	26
Kandahār	Kandahar	AF	26
Khamis Mushait		SA	25
Krugersdorp		ZA	25
Kahramanmaraş	Kahramanmaras	TR	25
Kaunas		LT	24
Kenitra		MA	24
Kuantan		MY	24
Kwangmyŏng	Kwangmyong	KR	23
Kimhae		KR	23
Kosti		SD	23
Kurgan		RU	22
Kūkatpalli	Kukatpalli	IN	22
Kōriyama	Koriyama	JP	22
Kashiwa		JP	22
Kaluga		RU	22
Kaesŏng	Kaesong	KP	22
Kawagoe		JP	22
Krasnogvargeisky		RU	22
Kochi		JP	22
Kāmārhāti	Kamarhati	IN	22
Khorramshahr		IR	22
Khorramabad		IR	21
Kherson		UA	21
Koshigaya		JP	21
Katowice		PL	21
Kulti		IN	20
Kyzyl-Orda		KZ	20
Kyzylorda		KZ	20
Kasugai		JP	19
Kākināda	Kakinada	IN	19
Kasūr	Kasur	PK	19
Kuala Terengganu		MY	19
Karlsruhe		DE	18
Kupang		ID	18
Kostroma		RU	18
Khomeynī Shahr	Khomeyni Shahr	IR	18
Komsomolsk-on-Amur		RU	18
Kashgar		CN	18
Kāshān	Kashan	IR	18
Kakogawachō-honmachi	Kakogawacho-honmachi	JP	18
Kafr ad Dawwār	Kafr ad Dawwar	EG	17
Kirovohrad		UA	16
Kunsan		KR	16
Kurume		JP	15
Krefeld		DE	15
Košice	Kosice	SK	15
Kediri		ID	15
Kismayo		SO	15
Kitchener		CA	15
Kiel		DE	15
Karīmnagar	Karimnagar	IN	15
Kremenchuk		UA	15
Karnāl	Karnal	IN	15
Kharagpur		IN	14
Kisumu		KE	14
Kırıkkale	Kirikkale	TR	14
Kostanay		KZ	14
Kanggye-si		KP	13
Kielce		PL	13
Kasukabe		JP	13
Kishiwada		JP	13
Kamoke		PK	13
Kaiyuan		CN	13
Kure		JP	13
Kendari		ID	13
Kassel		DE	12
Katihar		IN	12
Klaipėda	Klaipeda	LT	12
Kōfu	Kofu	JP	12
Kabwe		ZM	12
Kultali		IN	12
Kikwit		CD	12
Kütahya	Kutahya	TR	12
Kushiro		JP	12
Khandwa		IN	12
Kamensk-Ural’skiy	Kamensk-Ural'skiy	RU	12
Kang-neung		KR	12
Korla		CN	11
Klerksdorp		ZA	11
Knoxville		US	11
Kamirenjaku		JP	11
Kutaisi		GE	11
Khvoy		IR	11
Kramators’k	Kramators'k	UA	11
Khān Yūnis	Khan Yunis	PS	11
Kaolack		SN	11
Kulim		MY	11
Khammam		IN	11
Kluang		MY	11
Khouribga		MA	11
Korhogo		CI	11
Kamakura		JP	11
Khobar		SA	11
Kigoma		TZ	10
Kunduz		AF	10
Kawanishi		JP	10
Khoroshëvo-Mnevniki	Khoroshevo-Mnevniki	RU	10
Katsuta		JP	10
Kumagaya		JP	10
Kisi		NG	10
Kyonju		KR	10
Kānchipuram	Kanchipuram	IN	10
Kovrov		RU	10
Kerch		UA	10
Kohāt	Kohat	PK	10
Komaki		JP	10
Kızıltepe	Kiziltepe	TR	10
Kolomna		RU	9
Khon Kaen		TH	9
Kragujevac		RS	9
Kalemie		CD	9
Krishnanagar		IN	9
Kansas City		US	9
Kampung Pasir Gudang Baru		MY	9
Khŭjand	Khujand	TJ	9
Kumba		CM	9
Kafr ash Shaykh		EG	9
Kenema		SL	9
Kuz’minki	Kuz'minki	RU	9
Khimki		RU	9
Khānpur	Khanpur	PK	9
Kimberley		ZA	9
Kampung Sungai Ara		MY	9
Kaithal		IN	9
Korolev		RU	9
Kumbakonam		IN	9
Kariya		JP	9
Kolpino		RU	9
Kānchrāpāra	Kanchrapara	IN	9
Kabankalan		PH	9
Kushtia		BD	9
Kindu		CD	9
Kislovodsk		RU	8
Kakamigahara		JP	8
Kishangarh		IN	8
Kadoma		JP	8
Kisaran		ID	8
Kamyshin		RU	8
Khardah		IN	8
Killeen		US	8
Kusatsu		JP	8
Klaten		ID	8
Khasavyurt		RU	8
Kolār	Kolar	IN	8
Koronadal		PH	8
Kelowna		CA	8
Khairpur		PK	8
Kashihara-shi		JP	8
Kokshetau		KZ	8
Kisarazu		JP	8
Karaman		TR	8
Kairouan		TN	7
Kokubunji		JP	7
Khlong Luang		TH	7
Kedungwuni		ID	7
Khanna		IN	7
Kindia		GN	7
Khenchela		DZ	7
Kingston		CA	7
Kankan		GN	7
Kitami		JP	7
Kaiyuan		CN	7
Kamālia	Kamalia	PK	7
Kandy		LK	7
Kiryū	Kiryu	JP	7
Kresek		ID	7
Kufa		IQ	7
Kecskemét	Kecskemet	HU	7
Kandi		BJ	7
Komatsu		JP	7
Kalisz		PL	7
Ksar El Kebir		MA	7
Katumba		TZ	7
Kyzyl		RU	7
Kunshan		CN	7
Koszalin		PL	7
Koblenz		DE	7
Khemisset		MA	7
Khurja		IN	7
Kot Addu		PK	6
Kara		TG	6
Kiselëvsk	Kiselevsk	RU	6
Kroonstad		ZA	6
Kashipur		IN	6
Khushāb	Khushab	PK	6
Kansk		RU	6
Kallithéa	Kallithea	GR	6
Kōnan	Konan	JP	6
Kūhdasht	Kuhdasht	IR	6
Kalmunai		LK	6
Kamieniec Podolski		UA	6
Kangding		CN	6
Kāsganj	Kasganj	IN	6
Koutiala		ML	6
Kenosha		US	6
Kwekwe		ZW	6
Kontagora		NG	6
Kaiserslautern		DE	6
Karabük	Karabuk	TR	6
Kuje		NG	6
Kameoka		JP	6
Koforidua		GH	6
Kāshmar	Kashmar	IR	6
Khōst	Khost	AF	6
Kutloanong		ZA	6
Khargone		IN	6
Kanuma		JP	6
Kishanganj		IN	6
Khāmgaon	Khamgaon	IN	6
Kāzerūn	Kazerun	IR	6
Kırşehir	Kirsehir	TR	6
Kitakami		JP	6
Kombolcha		ET	6
Kalyani		IN	6
Kineshma		RU	6
Krasnogorsk		RU	6
Kapūrthala	Kapurthala	IN	6
Kaizuka		JP	6
Kent		US	6
Kudus		ID	6
Kimitsu		JP	6
Kohima		IN	6
Kāraikkudi	Karaikkudi	IN	6
Kilosa		TZ	6
Konotop		UA	6
Kalamariá	Kalamaria	GR	6
Kostyantynivka		UA	6
Kasama		ZM	6
Kishorganj		BD	6
Klagenfurt am Wörthersee	Klagenfurt am Woerthersee	AT	6
Körfez	Korfez	TR	6
Kuznetsk		RU	6
Kovilpatti		IN	6
Kirovo-Chepetsk		RU	6
Krasnyy Luch		UA	6
Kwangyang		KR	5
Kuopio		FI	5
Kartasura		ID	5
Kōnosu	Konosu	JP	5
Kandhkot		PK	5
Klangenan		ID	5
Kozan		TR	5
Koidu		SL	5
Kadugli		SD	5
Koudougou		BF	5
Kasihan		ID	5
Kāmthi	Kamthi	IN	5
Kashiwazaki		JP	5
Keffi		NG	5
Katunayaka		LK	5
Komendantsky aerodrom		RU	5
Kakegawa		JP	5
Kāvali	Kavali	IN	5
Katori-shi		JP	5
Kamigyō-ku	Kamigyo-ku	JP	5
Kraljevo		RS	5
Kanoya		JP	5
Kilis		TR	5
Kasserine		TN	5
Kaspiysk		RU	5
Kadiri		IN	5
Khāriān	Kharian	PK	5
Khambhāt	Khambhat	IN	5
Konstanz		DE	5
Konin		PL	5
Klin		RU	5
Kfar Saba		IL	5
Kotkapura		IN	5
Kairāna	Kairana	IN	5
Kedungwaru		ID	5
Kāraikāl	Karaikal	IN	5
Kidapawan		PH	5
Kropotkin		RU	5
Kafanchan		NG	5
Kottagūdem	Kottagudem	IN	5
Kadoma		ZW	5
Kashihara		JP	5
Kŭlob	Kulob	TJ	5
Koch Bihār	Koch Bihar	IN	5
Kātoya	Katoya	IN	5
Kayes		ML	5
Karatsu		JP	5
Kadayanallur		IN	5
Keningau		MY	5
Kars		TR	5
Kambar		PK	5
Khomeyn		IR	5
Kanasín	Kanasin	MX	5
Ksar el Boukhari		DZ	5
Keratsíni	Keratsini	GR	5
Kagoro		NG	5
Karur		IN	5
Kundla		IN	5
Kannauj		IN	5
Kumanovo		MK	5
Konnagar		IN	5
Kebomas		ID	5
Khemis Miliana		DZ	5
Karangsembung		ID	5
Kamensk-Shakhtinskiy		RU	5
Khadki		IN	5
Kendall		US	5
Kruševac	Krusevac	RS	5
Kampong Chhnang		KH	5
Kitale		KE	5
Kpalimé	Kpalime	TG	5
Keren		ER	4
Kalamazoo		US	4
Khalándrion	Khalandrion	GR	4
Kennewick		US	4
Khenifra		MA	4
Kortrijk		BE	4
Kafr az Zayyāt	Kafr az Zayyat	EG	4
Karauli		IN	4
Kamina		CD	4
Kukichūō	Kukichuo	JP	4
Kawit		PH	4
Kâhta	Kahta	TR	4
Koch'ang		KR	4
Krathum Baen		TH	4
Kotri		PK	4
Kyosai		KR	4
Kuningan		ID	4
Khanabad		AF	4
Khanjarah		TR	4
Kazo		JP	4
Kāmāreddi	Kamareddi	IN	4
Kuandian		CN	4
Kopeysk		RU	4
Kurortnyy		RU	4
Kastamonu		TR	4
Kadirli		TR	4
Karakol		KG	4
Khāliş	Khalis	IQ	4
Kladno		CZ	4
Kohror Pakka		PK	4
Kaura Namoda		NG	4
Khāsh	Khash	IR	4
Kot Malik Barkhurdār	Kot Malik Barkhurdar	PK	4
Kampong Baharu Balakong		MY	4
Kamloops		CA	4
Knysna		ZA	4
Keshod		IN	4
Kānnangād	Kannangad	IN	4
Krasnoarmiys’k	Krasnoarmiys'k	UA	4
Kuqa		CN	4
Khanty-Mansiysk		RU	4
Kaposvár	Kaposvar	HU	4
Kalush		UA	4
Kasese		UG	4
Kstovo		RU	4
Kenner		US	4
Kalulushi		ZM	4
Krishnagiri		IN	4
