Lagos		NG	600
Lima		PE	515
London		GB	503
Lahore		PK	420
Los Angeles		US	252
Luanda		AO	185
Lanzhou		CN	175
Lucknow		IN	164
Ludhiāna	Ludhiana	IN	103
Luoyang		CN	92
Lubumbashi		CD	91
Lusaka		ZM	84
Lijiang		CN	75
León	Leon	MX	74
La Paz		BO	54
Łódź	Lodz	PL	51
Lomé	Lome	TG	49
Langfang		CN	48
Lviv		UA	47
La Plata		AR	46
Liaoyang		CN	45
Lilongwe		MW	43
Luancheng		CN	39
Las Vegas		US	38
Libreville		GA	38
Lisbon		PT	34
Lipetsk		RU	34
Leipzig		DE	33
Lyon		FR	31
Londrina		BR	31
Liverpool		GB	31
Liaoyuan		CN	31
Long Beach		US	30
Leeds		GB	30
Luhansk		UA	30
Luqiao		CN	28
Likasi		CD	28
Luxor		EG	28
Luohe		CN	27
Las Palmas de Gran Canaria		ES	25
Laval		CA	25
Lārkāna	Larkana	PK	24
Lublin		PL	24
Lapu-Lapu City		PH	23
Latur		IN	23
London		CA	23
Latakia		SY	22
Leicester		GB	22
Lianshan		CN	20
Lexington-Fayette		US	19
Limeira		BR	19
Logan City		AU	18
Ljubljana		SI	18
Linyi		CN	18
Lal Bahadur Nagar		IN	17
Lincoln		US	17
L'Hospitalet de Llobregat		ES	17
Latina		ES	17
Laohekou		CN	16
Liupanshui		CN	16
Los Reyes La Paz		MX	16
Libertad		PH	16
Louisville		US	16
Lankaran		AZ	16
Laredo		US	15
Linfen		CN	15
Lubbock		US	15
Longueuil		CA	15
Lucena		PH	15
Lille		FR	15
Liaocheng		CN	15
Lexington		US	15
Los Mochis		MX	14
Luts’k	Luts'k	UA	14
Loa Janan		ID	14
Lipa City		PH	14
Lübeck	Luebeck	DE	14
La Romana		DO	13
Lobito		AO	13
Las Tunas		CU	13
Linxia Chengguanzhen		CN	13
La Pintana		CL	13
Ladner		CA	13
Laâyoune / El Aaiún	Laayoune / El Aaiun	EH	13
Luton		GB	12
Little Rock		US	12
Labuan Bajo		ID	12
Leganés	Leganes	ES	12
Le Havre		FR	12
Lembang		ID	12
Liège	Liege	BE	12
Linz		AT	12
Legaspi		PH	11
Loum		CM	11
Licheng		CN	11
Lyublino		RU	11
La Paz		MX	11
Laiyang		CN	11
Loni		IN	10
Lages		BR	10
Ludwigshafen am Rhein		DE	10
Leverkusen		DE	10
La Rioja		AR	10
La Gi		VN	10
Lawang		ID	10
Long Xuyên	Long Xuyen	VN	10
Laventille		TT	10
Lancaster		US	10
Lampang		TH	10
Lianghu		CN	10
Lyubertsy		RU	10
La Serena		CL	10
Leshan		CN	10
Limassol		CY	10
Livorno		IT	10
Linhai		CN	10
Logroño	Logrono	ES	10
Longfeng		CN	10
Loudi		CN	10
La Laguna		ES	10
Lubuklinggau		ID	9
Lárisa	Larisa	GR	9
León	Leon	NI	9
Le Mans		FR	9
Luziânia	Luziania	BR	9
Lakewood		US	9
Lauro de Freitas		BR	9
Limoges		FR	9
Los Teques		VE	9
Lakhīmpur	Lakhimpur	IN	9
Lleida		ES	9
León	Leon	ES	8
Léogâne	Leogane	HT	8
Lashio		MM	8
La Ceiba		HN	8
Leiyang		CN	8
Lafia		NG	8
Lalitpur		IN	8
Lévis	Levis	CA	8
