New York City		US	545
Nanjing		CN	477
Nanchong		CN	476
Ningbo		CN	232
Nairobi		KE	183
Navi Mumbai		IN	173
Nanchang		CN	157
Nagpur		IN	148
Nagoya		JP	146
Novosibirsk		RU	94
Nashik		IN	85
Nizhniy Novgorod		RU	85
Nowrangapur		IN	81
Nova Iguaçu	Nova Iguacu	BR	66
Napoli		IT	63
Nay Pyi Taw		MM	61
Naucalpan de Juárez	Naucalpan de Juarez	MX	56
Nanning		CN	53
Niamey		NE	51
Natal		BR	50
Nangandao		CN	49
N'Djamena		TD	48
Nantong		CN	44
Nouakchott		MR	44
New South Memphis		US	42
North York		CA	42
New Kingston		JM	38
Nanded		IN	36
Neijiang		CN	36
Novokuznetsk		RU	35
Nashville		US	35
Naberezhnyye Chelny		RU	33
Niigata		JP	33
Nürnberg	Nuernberg	DE	33
Najaf		IQ	32
Nishinomiya-hama		JP	31
Niterói	Niteroi	BR	30
Namp’o	Namp'o	KP	30
Nangi		IN	29
Namangan		UZ	28
Nagasaki		JP	27
Newcastle		ZA	26
Nellore		IN	26
Ndola		ZM	26
Nampula		MZ	25
N’dalatando	N'dalatando	AO	25
Nizhniy Tagil		RU	25
Nara-shi		JP	24
Nagano		JP	24
Neiva		CO	23
Nuevo Laredo		MX	23
New Orleans		US	22
Nice		FR	22
New Delhi		IN	21
Newcastle		AU	20
Nizāmābād	Nizamabad	IN	20
Naha		JP	20
Noida		IN	19
Nha Trang		VN	18
Narsingdi		BD	18
Nantes		FR	18
Newark		US	18
Nal’chik	Nal'chik	RU	18
Nakuru		KE	17
Najrān	Najran	SA	17
Novo Hamburgo		BR	16
Naihāti	Naihati	IN	16
Nanyang		CN	16
Niš	Nis	RS	16
Nottingham		GB	16
Nicolás Romero	Nicolas Romero	MX	16
Nizhnevartovsk		RU	16
Norfolk		US	16
Neuquén	Neuquen	AR	16
Novorossiysk		RU	16
Neyagawa		JP	15
Nāgarpur	Nagarpur	BD	15
Nizhnekamsk		RU	15
Ngaoundéré	Ngaoundere	CM	15
Nukus		UZ	15
Nawābshāh	Nawabshah	PK	15
Nassau		BS	15
Neue Neustadt		DE	15
Nacala		MZ	14
Nārāyanganj	Narayanganj	BD	14
Najafābād	Najafabad	IR	14
Nīshābūr	Nishabur	IR	14
North Las Vegas		US	14
Novi Sad		RS	14
Nazrēt	Nazret	ET	14
Nāgercoil	Nagercoil	IN	14
Naz̧arābād	Nazarabad	IR	14
Nakhon Ratchasima		TH	13
North Shore		NZ	13
Numazu		JP	13
North Glendale		US	13
Nadiād	Nadiad	IN	13
Nicosia		CY	13
Northampton		GB	13
Nagaoka		JP	13
Nishi-Tokyo-shi		JP	13
Nāngloi Jāt	Nangloi Jat	IN	12
Nnewi		NG	12
Newcastle upon Tyne		GB	12
Nogales		MX	12
Newport News		US	12
Norwich		GB	11
Naga		PH	11
Netanya		IL	11
Nanping		CN	11
Novocherkassk		RU	11
Nandyāl	Nandyal	IN	11
Nou Barris		ES	10
Nazran’	Nazran'	RU	10
Nossa Senhora do Socorro		BR	10
Nijmegen		NL	10
Nanpiao		CN	10
Nagareyama		JP	10
Nova Friburgo		BR	10
Neuss		DE	10
Nîmes	Nimes	FR	9
Nilópolis	Nilopolis	BR	9
Nakhodka		RU	9
Novyye Kuz’minki	Novyye Kuz'minki	RU	9
Nawābganj	Nawabganj	BD	9
Naperville		US	9
Norilsk		RU	9
Nigel		ZA	9
Negombo		LK	9
Nevinnomyssk		RU	8
Nzérékoré	Nzerekore	GN	8
Novomoskovsk		RU	8
Nikopol’	Nikopol'	UA	8
Nablus		PS	8
New Haven		US	8
Navoiy		UZ	8
Nador		MA	8
Novocheboksarsk		RU	8
Neftekamsk		RU	8
Navoiy		UZ	8
Niihama		JP	8
Nobeoka		JP	8
Nalgonda		IN	8
Naucalpan de Juárez	Naucalpan de Juarez	MX	8
Noda		JP	8
North Stamford		US	8
Nakhon Si Thammarat		TH	8
Navojoa		MX	8
Nabatîyé et Tahta	Nabatiye et Tahta	LB	8
Novoye Medvezhino		BY	8
Nazilli		TR	7
Nakhon Pathom		TH	7
Newport		GB	7
Nkongsamba		CM	7
Nyíregyháza	Nyiregyhaza	HU	7
Noginsk		RU	7
Novo-Peredelkino		RU	7
Nippes		DE	7
North Peoria		US	7
Nefteyugansk		RU	7
Novokuybyshevsk		RU	7
Navadwīp	Navadwip	IN	7
Nsukka		NG	7
Nguru		NG	7
Norman		US	7
Nelspruit		ZA	7
Noyabrsk		RU	7
Nehe		CN	7
Namur		BE	7
Novotroitsk		RU	7
Nantou		TW	7
Norwalk		US	7
Nancy		FR	7
Nkpor		NG	6
Nagda		IN	6
Nishio		JP	6
Novyye Cherëmushki	Novyye Cheremushki	RU	6
Navapolatsk		BY	6
Nandurbar		IN	6
Narita		JP	6
Novoshakhtinsk		RU	6
North Charleston		US	6
Narasaraopet		IN	6
Nāgaur	Nagaur	IN	6
Nowshera Cantonment		PK	6
Nawāda	Nawada	IN	6
New Bedford		US	6
Novogireyevo		RU	6
Nemby		PY	6
Nāgappattinam	Nagappattinam	IN	6
Novyy Urengoy		RU	6
Novoural’sk	Novoural'sk	RU	6
Novara		IT	6
Nouméa	Noumea	NC	6
Nakhon Sawan		TH	6
Niğde	Nigde	TR	6
Namyangju		KR	6
Nyaunglebin		MM	5
Níkaia	Nikaia	GR	5
Nusaybin		TR	5
Nova Lima		BR	5
Nabari		JP	5
Neyyāttinkara	Neyyattinkara	IN	5
Nenjiang		CN	5
Nanterre		FR	5
Nashua		US	5
Nitra		SK	5
Nanfeng		CN	5
Novi Pazar		RS	5
Norwalk		US	5
Nanding		CN	5
Newport Beach		US	5
Newton		US	5
Nanaimo		CA	5
Nowy Sącz	Nowy Sacz	PL	5
Najībābād	Najibabad	IN	5
Nanzhang Chengguanzhen		CN	5
Ningyang		CN	5
Norrköping	Norrkoping	SE	5
Nangong		CN	5
Nizip		TR	5
Niagara Falls		CA	5
Nampa		US	5
Naesŏ	Naeso	KR	5
Nirmal		IN	5
Natitingou		BJ	5
Necochea		AR	5
Namibe		AO	5
Norzagaray		PH	5
Nawābganj	Nawabganj	IN	5
Netrakona		BD	5
Neumünster	Neumuenster	DE	5
North Hollywood		US	5
Numan		NG	5
New Rochelle		US	5
Napa		US	5
Nagīna	Nagina	IN	5
Nahāvand	Nahavand	IR	5
Nagornyy		RU	5
Newcastle under Lyme		GB	5
Nevşehir	Nevsehir	TR	5
Nizhyn		UA	5
Nanma		CN	4
Newmarket		CA	4
Nuneaton		GB	4
Naqadeh		IR	4
Nūrābād	Nurabad	IR	4
New Britain		US	4
Novomoskovs’k	Novomoskovs'k	UA	4
Néa Smýrni	Nea Smyrni	GR	4
Naro-Fominsk		RU	4
Nyzhn’ohirs’kyy	Nyzhn'ohirs'kyy	UA	4
Nouâdhibou	Nouadhibou	MR	4
Nizwá	Nizwa	OM	4
Norderstedt		DE	4
Nungua		GH	4
Nganjuk		ID	4
Northridge		US	4
Ninghai		CN	4
Nārowāl	Narowal	PK	4
Neubrandenburg		DE	4
Nakatsu		JP	4
Néa Ionía	Nea Ionia	GR	4
Narva		EE	4
Neuwied		DE	4
Neryungri		RU	4
Najin		KP	4
Nārnaul	Narnaul	IN	4
Niitsu-honchō	Niitsu-honcho	JP	4
Ningde		CN	4
Nazareth		IL	4
Nakhchivan		AZ	4
Nābha	Nabha	IN	4
Nepalgunj		NP	4
Narutochō-mitsuishi	Narutocho-mitsuishi	JP	4
Nūrābād	Nurabad	IR	4
Newtownabbey		GB	4
Nong Khai		TH	4
North Bergen		US	4
Nanlong		CN	4
North Richland Hills		US	4
Novaya Balakhna		RU	4
Nkwerre		NG	4
Nasugbu		PH	4
Noisy-le-Grand		FR	4
North Little Rock		US	4
Nianzishan		CN	4
Nagahama		JP	4
Njeru		UG	4
Nandu		CN	4
Nkawkaw		GH	4
Nieuwegein		NL	4
Neuilly-sur-Seine		FR	4
Novoaltaysk		RU	4
Norfolk County		CA	4
Nipāni	Nipani	IN	4
Néma	Nema	MR	4
North Lakhimpur		IN	3
Nago		JP	3
Narasapur		IN	3
Nelson		NZ	3
North Miami		US	3
National City		US	3
New Westminster		CA	3
Nawalgarh		IN	3
Nedumangād	Nedumangad	IN	3
Nikšić	Niksic	ME	3
Nīmbāhera	Nimbahera	IN	3
Nangen		KR	3
Novovolyns’k	Novovolyns'k	UA	3
New Braunfels		US	3
North Port		US	3
Naksalbāri	Naksalbari	IN	3
Ninghai		CN	3
Nōgata	Nogata	JP	3
Napier		NZ	3
Nantai		CN	3
Nabeul		TN	3
Nankāna Sāhib	Nankana Sahib	PK	3
Nāmakkal	Namakkal	IN	3
Nova Viçosa	Nova Vicosa	BR	3
Novohrad-Volyns’kyy	Novohrad-Volyns'kyy	UA	3
Nokha		IN	3
Narwāna	Narwana	IN	3
Nicastro-Sambiase		IT	3
Nanto-shi		JP	3
Nazarovo		RU	3
Novi		US	3
Naic		PH	3
New Brunswick		US	3
North Chicopee		US	3
Narail		BD	3
Nakatsugawa		JP	3
Niort		FR	3
Nanzhou		CN	3
Nuevitas		CU	3
Nikki		BJ	3
Neustadt		DE	3
Nūzvīd	Nuzvid	IN	3
Neu-Hohenschönhausen	Neu-Hohenschoenhausen	DE	3
Nueva Guinea		NI	3
Nordhorn		DE	3
Normal		US	3
Naryn		KG	3
