Osaka		JP	172
Ordos		CN	129
Omdurman		SD	80
Omsk		RU	75
Ouagadougou		BF	72
Odessa		UA	66
Ottawa		CA	54
Oyo		NG	49
Osasco		BR	45
Oran		DZ	43
Okayama		JP	42
Oslo		NO	38
Oklahoma City		US	38
Orūmīyeh	Orumiyeh	IR	38
Onitsha		NG	37
Orenburg		RU	36
Okene		NG	31
Ōita	Oita	JP	29
Omaha		US	27
Oujda		MA	27
Oakland		US	26
Olinda		BR	24
Okazaki		JP	23
Orël	Orel	RU	21
Ostrava		CZ	20
Ōtsu	Otsu	JP	19
Okanagan		CA	19
Owo		NG	18
Oaxaca de Juárez	Oaxaca de Juarez	MX	17
Ondo		NG	17
Osh City		KG	17
Oshawa		CA	16
Orsk		RU	16
Ojo de Agua		MX	16
Orlando		US	15
Oviedo		ES	14
Okāra	Okara	PK	14
Olongapo		PH	14
Oberhausen		DE	14
Owerri		NG	14
Oruro		BO	13
Oradea		RO	13
Odawara		JP	13
Osmaniye		TR	13
Oral		KZ	13
Osh		KG	13
Oxnard		US	13
Ormoc		PH	12
Oxnard Shores		US	12
Obihiro		JP	11
Overland Park		US	11
Ongole		IN	11
Olsztyn		PL	11
Oceanside		US	11
Osnabrück	Osnabrueck	DE	11
Ocumare del Tuy		VE	11
Oakville		CA	11
Ontario		US	10
Oyama		JP	10
Oldenburg		DE	10
Osan		KR	10
Orai		IN	10
Osogbo		NG	10
Oxford		GB	10
Ōta	Ota	JP	10
Ōgaki	Ogaki	JP	10
Ōme	Ome	JP	9
Odense		DK	9
Orkney		ZA	9
Orekhovo-Borisovo		RU	9
Otaru		JP	9
Obuasi		GH	9
Odintsovo		RU	9
Orange		US	9
Osorno		CL	9
Okap		HT	8
Okrika		NG	8
Ōmuta	Omuta	JP	8
Ouargla		DZ	8
Oulu		FI	8
Orekhovo-Borisovo Severnoye		RU	8
Opole		PL	8
Olathe		US	8
Okinawa		JP	8
Orsha		BY	8
Orléans	Orleans	FR	8
Orizaba		MX	8
Olmaliq		UZ	8
Orekhovo-Zuyevo		RU	8
Offenbach		DE	7
Ordu		TR	7
Okigwe		NG	7
Ochakovo-Matveyevskoye		RU	7
Offa		NG	7
Oktyabr’skiy	Oktyabr'skiy	RU	7
Ourense		ES	7
Obninsk		RU	7
Oldham		GB	6
Oleksandriya		UA	6
Olomouc		CZ	6
Oum el Bouaghi		DZ	6
Odessa		US	6
Örebro	Orebro	SE	6
Ooty		IN	6
Ourinhos		BR	6
Olupona		NG	6
Ozerki		RU	6
Ōnojō	Onojo	JP	6
Ochota		PL	6
Ozamiz City		PH	6
Onomichi		JP	6
Ōmura	Omura	JP	5
Orem		US	5
Osijek		HR	5
Olavarría	Olavarria	AR	5
Orihuela		ES	5
Osmanabad		IN	5
Oued Zem		MA	5
Ogaminana		NG	5
Ocaña	Ocana	CO	5
Ouidah		BJ	5
Ogden		US	5
Ocotlán	Ocotlan	MX	5
Ozersk		RU	5
Oke Mesi		NG	5
O'Fallon		US	5
Ōbu	Obu	JP	5
Ovalle		CL	5
Oss		NL	5
Ode		NG	5
Okegawa		JP	5
Ostrowiec Świętokrzyski	Ostrowiec Swietokrzyski	PL	4
Ozubulu		NG	4
Oyan		NG	4
Ohafia-Ifigh		NG	4
Ostrów Wielkopolski	Ostrow Wielkopolski	PL	4
Ordzhonikidzevskaya		RU	4
Orita Eruwa		NG	4
Ōmihachiman	Omihachiman	JP	4
Ostend		BE	4
Obonoma		NG	4
Ödemiş	OEdemis	TR	4
Oulad Teïma	Oulad Teima	MA	4
Oshkosh		US	4
Ōdate	Odate	JP	4
Ongjin		KP	4
Ouro Preto		BR	4
Oroqen Zizhiqi		CN	4
Oudtshoorn		ZA	4
Ouahigouya		BF	4
Opava		CZ	4
Ostankinskiy		RU	4
Obando		PH	3
Oued Rhiou		DZ	3
Offenburg		DE	3
Oltinko’l	Oltinko'l	UZ	3
Ōtawara	Otawara	JP	3
Ouezzane		MA	3
Owensboro		US	3
Ouarzazat		MA	3
Orland Park		US	3
Oak Lawn		US	3
