Puyang		CN	239
Pyongyang		KP	214
Pune		IN	195
Paris		FR	142
Perth		AU	126
Pretoria		ZA	107
Patna		IN	106
Puebla		MX	106
Phnom Penh		KH	104
Philadelphia		US	101
Phoenix		US	96
Palembang		ID	96
Porto Alegre		BR	91
Pimpri		IN	85
Port-au-Prince		HT	82
Peshawar		PK	81
Prague		CZ	77
Port Harcourt		NG	76
Perm		RU	65
Port Elizabeth		ZA	64
Pingdingshan		CN	59
Pikine		SN	58
Padang		ID	56
Pasragad Branch		IR	52
Pietermaritzburg		ZA	50
Pekanbaru		ID	46
Puyang Chengguanzhen		CN	44
Pointe-Noire		CG	43
Palermo		IT	43
Panshan		CN	41
Pasig City		PH	41
Portland		US	38
Poznań	Poznan	PL	38
Pristina		XK	36
Port Said		EG	35
Petaling Jaya		MY	34
Penza		RU	34
Puente Alto		CL	34
Pohang		KR	33
Port Sudan		SD	32
Pontianak		ID	30
Pereira		CO	29
Panamá	Panama	PA	27
Palma		ES	26
Pasto		CO	25
Pānihāti	Panihati	IN	25
Putian		CN	25
Pingxiang		CN	24
Puerto La Cruz		VE	24
Petare		VE	24
Punāsa	Punasa	IN	23
Piracicaba		BR	22
Plovdiv		BG	22
Patiāla	Patiala	IN	21
Pavlodar		KZ	21
Piura		PE	21
Posadas		AR	21
Pelotas		BR	21
Pachuca de Soto		MX	21
Poltava		UA	21
Percut		ID	20
Pucallpa		PE	20
Porto Velho		BR	20
Pittsburgh		US	20
Pānīpat	Panipat	IN	19
Ponta Grossa		BR	19
Paulista		BR	19
Parbhani		IN	19
Port Moresby		PG	18
Pétionville	Petionville	HT	18
Palu		ID	18
Petrópolis	Petropolis	BR	18
Petrozavodsk		RU	17
Paraná	Parana	AR	17
Plano		US	17
Popayán	Popayan	CO	17
Pekalongan		ID	17
Praia Grande		BR	16
Port-de-Paix		HT	16
Porto		PT	16
Palmira		CO	16
Plymouth		GB	16
Puente de Vallecas		ES	16
Pathein		MM	15
Porto-Novo		BJ	15
Ploieşti	Ploiesti	RO	15
Puducherry		IN	15
Paramaribo		SR	14
Paradise		US	14
Puerto Princesa		PH	14
Prokop’yevsk	Prokop'yevsk	RU	14
Purwokerto		ID	14
Purwakarta		ID	14
Pāli	Pali	IN	14
Pematangsiantar		ID	13
Presidente Prudente		BR	13
Padova		IT	13
Pskov		RU	13
Petropavl		KZ	13
Pokhara		NP	13
Petaẖ Tiqwa	Petah Tiqwa	IL	13
Pamplona		ES	13
Purnia		IN	13
Palmas		BR	13
Petrolina		BR	12
Portsmouth		GB	12
Parung		ID	12
Pār Naogaon	Par Naogaon	BD	12
Preston		GB	12
Paarl		ZA	12
Panalanoy		PH	12
Praga Południe	Praga Poludnie	PL	12
Petropavlovsk-Kamchatsky		RU	12
Puerto Vallarta		MX	12
Pinar del Río	Pinar del Rio	CU	12
Pagadian		PH	12
Pābna	Pabna	BD	12
Pemalang		ID	12
Pātan	Patan	NP	12
Pak Kret		TH	12
Prato		IT	12
Probolinggo		ID	12
Passo Fundo		BR	11
Podol’sk	Podol'sk	RU	11
Providence		US	11
Proddatūr	Proddatur	IN	11
Pamulang		ID	11
Poza Rica de Hidalgo		MX	11
Pathānkot	Pathankot	IN	11
Puerto Cabello		VE	11
Prizren		XK	11
Phra Pradaeng		TH	11
Puri		IN	11
Portoviejo		EC	11
Pátra	Patra	GR	11
Piteşti	Pitesti	RO	11
Plumbon		ID	11
Port Saint Lucie		US	10
Pilsen		CZ	10
Parakou		BJ	10
Piraeus		GR	10
