Shanghai		CN	1487
Shenzhen		CN	690
Seoul		KR	689
São Paulo	Sao Paulo	BR	668
Shenyang		CN	417
Suzhou		CN	356
Shantou		CN	355
Saint Petersburg		RU	335
Santiago		CL	322
Sydney		AU	308
Singapore		SG	236
Shiyan		CN	230
Sūrat	Surat	IN	192
Shijiazhuang		CN	188
Salvador		BR	180
Surabaya		ID	158
Santo Domingo		DO	146
Sanaa		YE	129
Sapporo		JP	125
Soweto		ZA	113
Santa Cruz de la Sierra		BO	90
San Antonio		US	88
San Diego		US	87
South Tangerang		ID	86
Semarang		ID	85
Stockholm		SE	83
Shiraz		IR	83
Suwon-si		KR	82
Santiago de los Caballeros		DO	80
Saitama		JP	79
Sofia		BG	76
Samara		RU	75
Sendai		JP	70
Seongnam-si		KR	68
Shivaji Nagar		IN	66
Solāpur	Solapur	IN	66
Srinagar		IN	65
Sulţānah	Sultanah	SA	63
San Jose		US	63
São Luís	Sao Luis	BR	61
Sale		MA	60
Saratov		RU	57
San Francisco		US	53
Sakai		JP	52
San Miguel de Tucumán	San Miguel de Tucuman	AR	52
Salem		IN	51
Shangyu		CN	51
São Bernardo do Campo	Sao Bernardo do Campo	BR	49
Subang Jaya		MY	47
Sevilla		ES	46
Shizuoka		JP	46
Santo Domingo Oeste		DO	46
Sarajevo		BA	46
San Luis Potosí	San Luis Potosi	MX	45
Santo André	Santo Andre	BR	44
Shaoguan		CN	41
Santiago de Querétaro	Santiago de Queretaro	MX	41
Saltillo		MX	41
São José dos Campos	Sao Jose dos Campos	BR	40
Seattle		US	40
Sāngli	Sangli	IN	40
Situbondo		ID	40
Shuangyashan		CN	40
Scarborough		CA	40
Stuttgart		DE	39
Shihezi		CN	38
South Boston		US	38
Sokoto		NG	37
Sorocaba		BR	37
Santiago de Cuba		CU	37
Siping		CN	37
Surakarta		ID	37
Sharjah		AE	36
Sargodha		PK	36
San Salvador		SV	35
Santa María Chimalhuacán	Santa Maria Chimalhuacan	MX	35
Shiliguri		IN	34
Salta		AR	34
Shashi		CN	33
Santa Fe de la Vera Cruz		AR	32
San Pedro Sula		HN	32
Suez		EG	32
Sahāranpur	Saharanpur	IN	32
Shah Alam		MY	32
Sialkot		PK	31
Skopje		MK	31
Staten Island		US	31
Sacramento		US	31
São João de Meriti	Sao Joao de Meriti	BR	30
Şanlıurfa	Sanliurfa	TR	29
San Juan		AR	29
Sheffield		GB	29
San Nicolás de los Garza	San Nicolas de los Garza	MX	29
Shyamnagar		IN	29
Sultangazi		TR	29
Santa Marta		CO	28
Shaoxing		CN	28
San Juan		PR	27
Sukkur		PK	27
Shymkent		KZ	27
Santos		BR	27
Shiyan		CN	27
Szczecin		PL	27
Surrey		CA	26
Serra		BR	26
Samsun		TR	26
Sandakan		MY	26
Samut Prakan		TH	25
Sector 3		RO	25
Sevastopol		UA	25
São José do Rio Preto	Sao Jose do Rio Preto	BR	24
Seremban		MY	24
Sector 6		RO	24
San Miguel Xico Viejo		MX	24
Stavropol’	Stavropol'	RU	24
Sheikhupura		PK	24
Simferopol		UA	23
San Jose del Monte		PH	23
Samarinda		ID	23
Santiago del Estero		AR	23
Suita		JP	23
Sanandaj		IR	23
Sector 2		RO	23
Soledad		CO	22
Shiqi		CN	22
San José	San Jose	CR	22
Soyapango		SV	21
Sochi		RU	21
Santa Ana		US	21
São Vicente	Sao Vicente	BR	21
Suizhou		CN	21
San Miguelito		PA	21
Smolensk		RU	21
Shāhjānpur	Shahjanpur	IN	21
Shimoga		IN	21
Samarqand		UZ	21
St. Louis		US	21
Shangrao		CN	21
Şişli	Sisli	TR	20
Soacha		CO	20
Sariwŏn	Sariwon	KP	20
Shengli		CN	20
San Salvador de Jujuy		AR	20
Saransk		RU	20
Surgut		RU	20
Santol		PH	19
Sumy		UA	19
Semey		KZ	19
Stockton		US	19
Sétif	Setif	DZ	19
Safi		MA	19
Sinŭiju	Sinuiju	KP	19
Sector 4		RO	19
Sultanbeyli		TR	19
Saint Paul		US	19
Suzano		BR	18
Santa Teresa		VE	18
Sfax		TN	18
Sukabumi		ID	18
Strasbourg		FR	18
Sector 5		RO	18
San Pedro		PH	18
Sterlitamak		RU	17
Sumqayıt	Sumqayit	AZ	17
Sivas		TR	17
Sincelejo		CO	17
Stoke-on-Trent		GB	17
Satna		IN	17
Sari		IR	17
Soledad de Graciano Sánchez	Soledad de Graciano Sanchez	MX	17
Santa Catarina		MX	16
Suihua		CN	16
Santiago de Surco		PE	16
San Fernando		PH	16
Sonīpat	Sonipat	IN	16
Santa Clara		CU	16
San Bernardo		CL	16
Santa Maria		BR	16
Saugor		IN	16
San Cristóbal	San Cristobal	VE	16
Southampton		GB	16
Shimonoseki		JP	16
Saint Petersburg		US	16
Santa Luzia		BR	16
Sancaktepe		TR	16
Seeb		OM	15
Sasebo		JP	15
Sylhet		BD	15
Sahiwal		PK	15
Sōka	Soka	JP	15
Suncheon		KR	15
Syktyvkar		RU	15
Sungai Petani		MY	15
Sumaré	Sumare	BR	15
San Lorenzo		PY	15
Sosnowiec		PL	15
Staryy Oskol		RU	15
Shrīrāmpur	Shrirampur	IN	15
Sabzevar		IR	15
Sector 1		RO	15
Sucre		BO	14
Santa Cruz de Tenerife		ES	14
Shakhty		RU	14
Sant Martí	Sant Marti	ES	14
San Pedro de Macorís	San Pedro de Macoris	DO	14
Scottsdale		US	14
Santa Rosa		PH	14
Shagamu		NG	14
Sepang		MY	14
San Bernardino		US	13
Sanming		CN	13
Sohag		EG	13
São Leopoldo	Sao Leopoldo	BR	13
Spokane		US	13
Sirjan		IR	13
San Pablo		PH	13
Sumedang Utara		ID	13
Sabadell		ES	13
Suzhou		CN	13
São Carlos	Sao Carlos	BR	13
Secunderabad		IN	13
Sete Lagoas		BR	13
Santo Domingo de los Colorados		EC	13
Severnyy		RU	13
Shahkot		PK	13
São José	Sao Jose	BR	13
Sīkar	Sikar	IN	13
Saidpur		BD	13
Shreveport		US	13
Saskatoon		CA	13
Sibu		MY	13
San-Pédro	San-Pedro	CI	13
Sambhal		IN	13
Severodvinsk		RU	12
Soledad Díez Gutiérrez	Soledad Diez Gutierrez	MX	12
