Ürümqi	UEruemqi	CN	201
Ufa		RU	68
Ulsan		KR	64
Ulan Bator		MN	56
Ulyanovsk		RU	42
Üsküdar	UEskuedar	TR	38
Umraniye		TR	38
Uberlândia	Uberlandia	BR	37
Ulhasnagar		IN	34
Uijeongbu-si		KR	31
Ujjain		IN	30
Utsunomiya		JP	29
Uyo		NG	29
Udaipur		IN	28
Ulan-Ude		RU	24
Ust-Kamenogorsk		KZ	21
Utrecht		NL	19
Umuahia		NG	17
Uberaba		BR	17
Udon Thani		TH	16
Uruapan		MX	15
Uitenhage		ZA	15
Ugep		NG	13
Uji		JP	12
Ube		JP	11
Uvira		CD	11
Ulanhot		CN	11
Unaizah		SA	10
Unnāo	Unnao	IN	10
Ussuriysk		RU	10
Uşak	Usak	TR	10
Urganch		UZ	10
Ursynów	Ursynow	PL	9
Urayasu		JP	9
Usera		ES	9
Udipi		IN	8
Ungaran		ID	8
Uppsala		SE	8
Ueda		JP	8
Uruguaiana		BR	8
Ubon Ratchathani		TH	8
Ulm		DE	8
Uppal Kalan		IN	7
Uzhhorod		UA	7
Uromi		NG	7
Umm Qaşr	Umm Qasr	IQ	7
Universal City		US	7
Ukhta		RU	6
Udgīr	Udgir	IN	6
Urdaneta		PH	6
Ust’-Ilimsk	Ust'-Ilimsk	RU	6
Ubá	Uba	BR	6
Udine		IT	6
Ushirombo		TZ	6
Ústí nad Labem	Usti nad Labem	CZ	6
Umuarama		BR	5
Uman’	Uman'	UA	5
Usol’ye-Sibirskoye	Usol'ye-Sibirskoye	RU	5
Ungsang		KR	5
Udhampur		IN	5
Ushiku		JP	5
Ughelli		NG	5
Ubatuba		BR	5
Ünye	UEnye	TR	5
Ulu Tiram		MY	5
Umeå	Umea	SE	4
Upland		US	4
Upington		ZA	4
Union City		US	4
Unna		DE	4
Union City		US	4
Uga		NG	4
Užice	Uzice	RS	4
Utica		US	4
Ueno-ebisumachi		JP	4
Uyovu		TZ	4
Ualog		PH	4
Unaí	Unai	BR	4
Uíge	Uige	AO	4
Ullal		IN	3
Uwajima		JP	3
Udumalaippettai		IN	3
Uzlovaya		RU	3
Uttaradit		TH	3
Ushuaia		AR	3
Union		US	3
Una		IN	3
Upleta		IN	3
Ujhāni	Ujhani	IN	3
Umm Ruwaba		SD	3
Uritsk		RU	3
Unjha		IN	3
Upata		VE	3
Usulután	Usulutan	SV	3
Umred		IN	3
Utrera		ES	3
Ŭiju	Uiju	KP	3
Untolovo		RU	3
Uriangato		MX	3
União da Vitória	Uniao da Vitoria	BR	3
Uttar Char Fasson		BD	3
Ust’-Kut	Ust'-Kut	RU	3
Urgut		UZ	3
Ursus		PL	3
Uozu		JP	3
Uchaly		RU	3
Urla		TR	3
Umm al Qaywayn		AE	2
Ust’-Labinsk	Ust'-Labinsk	RU	2
Usinsk		RU	2
Usta Muhammad		PK	2
Umarkot		PK	2
Uryupinsk		RU	2
Urus-Martan		RU	2
Urbana		US	2
Urmston		GB	2
União dos Palmares	Uniao dos Palmares	BR	2
University		US	2
Umm el Faḥm	Umm el Fahm	IL	2
Uzgen		KG	2
Uray		RU	2
Umi		JP	2
Urbandale		US	2
Uto		JP	2
Upper Hutt		NZ	2
Uchaly		RU	2
Uglich		RU	2
Upplands Väsby	Upplands Vaesby	SE	2
Uzunköprü	Uzunkoeprue	TR	2
Úbeda	Ubeda	ES	2
University City		US	2
Umarkhed		IN	2
Usuki		JP	2
Uelzen		DE	2
Uden		NL	2
Ungheni		MD	2
Ust’-Dzheguta	Ust'-Dzheguta	RU	2
Umm Lajj		SA	2
Upper Arlington		US	2
Unión de Reyes	Union de Reyes	CU	2
Uravakonda		IN	2
Uchqŭrghon Shahri	Uchqurghon Shahri	UZ	2
Utena		LT	2
Umreth		IN	2
Udomlya		RU	2
Umarga		IN	2
Ueki		JP	2
University Place		US	2
Usilampatti		IN	2
Un		IN	2
Ujiie		JP	2
Uddevalla		SE	2
Udaipur		IN	2
Uruaçu	Uruacu	BR	2
Umaria		IN	1
Uychi		UZ	1
Utmānzai	Utmanzai	PK	1
Umm Şalāl Muḩammad	Umm Salal Muhammad	QA	1
Upper Alton		US	1
Unecha		RU	1
Uvarovo		RU	1
Uman		MX	1
Utraula		IN	1
Ubaitaba		BR	1
Ubud		ID	1
Ulaangom		MN	1
Uenohara		JP	1
Umarkot		IN	1
University Park		US	1
Uithoorn		NL	1
Uherské Hradiště	Uherske Hradiste	CZ	1
Ukmerge		LT	1
Uran		IN	1
Unterschleißheim	Unterschleissheim	DE	1
Übach-Palenberg	Ubach-Palenberg	DE	1
Ust’-Katav	Ust'-Katav	RU	1
Uniondale		US	1
Uvinza		TZ	1
Uruçuca	Urucuca	BR	1
Uttiramerūr	Uttiramerur	IN	1
Urambo		TZ	1
Ubauro		PK	1
Udaipur		IN	1
Uster		CH	1
University Park		US	1
Uttamapālaiyam	Uttamapalaiyam	IN	1
Una		BR	1
Uthai Thani		TH	1
Ubiaja		NG	1
Überlingen	Uberlingen	DE	1
Unterhaching		DE	1
Ulundi		ZA	1
Ush-Tyube		KZ	1
Ubaté	Ubate	CO	1
Umkomaas		ZA	1
Usman’	Usman'	RU	1
Union City		US	1
Upper Saint Clair		US	1
Uva		RU	1
Udankudi		IN	1
Ureshinomachi-shimojuku		JP	1
Urrao		CO	1
Union Hill-Novelty Hill		US	1
Usa River		TZ	1
Universal City		US	1
Umm as Summāq	Umm as Summaq	JO	1
Uetersen		DE	1
Usevia		TZ	1
Uchiza		PE	1
Utebo		ES	1
Una		IN	1
Uherský Brod	Uhersky Brod	CZ	1
Urk		NL	1
Uttarkāshi	Uttarkashi	IN	1
Ubrique		ES	1
Urziceni		RO	1
Ushibuka		JP	1
Ürgüp	UErguep	TR	1
Uthal		PK	1
Ustka		PL	1
Uliastay		MN	1
Uusikaupunki		FI	1
Ukiah		US	1
Umina		AU	1
Uslar		DE	1
Udalguri		IN	1
Unterkrozingen		DE	1
Unhel		IN	1
Uvalde		US	1
Ujar		AZ	1
Uckfield		GB	1
União	Uniao	BR	1
Uzhur		RU	1
Ustroń	Ustron	PL	1
Ubatã	Ubata	BR	1
Usagara		TZ	1
Udaipura		IN	1
Unquillo		AR	1
Udachny		RU	1
Ústí nad Orlicí	Usti nad Orlici	CZ	1
Uchkeken		RU	1
Usehat		IN	1
Ūn	Un	IN	1
